date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,34,3,0,0
2021-04-02,Japan,0,89,32,0,0
2021-04-02,Sweden,0,7,2,0,0
2021-04-03,Afghanistan,0,20,17,0,0
2021-04-03,Japan,0,63,58,0,0
2021-04-03,Sweden,0,2,7,0,0
2021-04-04,Afghanistan,0,17,20,0,0
2021-04-04,Japan,0,41,80,0,0
2021-04-04,Sweden,0,0,9,0,0
2021-04-05,Afghanistan,0,16,21,0,0
2021-04-05,Japan,0,33,88,0,0
2021-04-05,Sweden,0,0,9,0,0
2021-04-06,Afghanistan,0,14,20,1,2
2021-04-06,Japan,0,21,68,16,16
2021-04-06,Sweden,0,0,7,1,1
2021-04-07,Afghanistan,0,10,10,7,10
2021-04-07,Japan,0,13,50,30,28
2021-04-07,Sweden,0,0,2,4,3
2021-04-08,Afghanistan,0,8,9,7,13
2021-04-08,Japan,0,13,28,40,40
2021-04-08,Sweden,0,0,0,4,5
2021-04-09,Afghanistan,0,6,10,7,14
2021-04-09,Japan,0,9,24,43,45
2021-04-09,Sweden,0,0,0,4,5
2021-04-10,Afghanistan,0,5,9,8,15
2021-04-10,Japan,0,8,13,49,51
2021-04-10,Sweden,0,0,0,4,5
2021-04-11,Afghanistan,0,5,5,9,18
2021-04-11,Japan,0,6,7,54,54
2021-04-11,Sweden,0,0,0,4,5
2021-04-12,Afghanistan,0,4,4,9,20
2021-04-12,Japan,0,2,11,54,54
2021-04-12,Sweden,0,0,0,4,5
2021-04-13,Afghanistan,0,3,3,10,21
2021-04-13,Japan,0,2,7,55,57
2021-04-13,Sweden,0,0,0,4,5
2021-04-14,Afghanistan,0,3,2,11,21
2021-04-14,Japan,0,1,7,56,57
2021-04-14,Sweden,0,0,0,4,5
2021-04-15,Afghanistan,0,3,2,11,21
2021-04-15,Japan,0,1,5,56,59
2021-04-15,Sweden,0,0,0,4,5
2021-04-16,Afghanistan,0,2,2,11,22
2021-04-16,Japan,0,1,1,58,61
2021-04-16,Sweden,0,0,0,4,5
2021-04-17,Afghanistan,0,2,1,12,22
2021-04-17,Japan,0,1,1,58,61
2021-04-17,Sweden,0,0,0,4,5
2021-04-18,Afghanistan,0,2,1,12,22
2021-04-18,Japan,0,1,0,58,62
2021-04-18,Sweden,0,0,0,4,5
2021-04-19,Afghanistan,0,2,1,12,22
2021-04-19,Japan,0,1,0,58,62
2021-04-19,Sweden,0,0,0,4,5
2021-04-20,Afghanistan,0,2,0,15,20
2021-04-20,Japan,5,1,0,69,46
2021-04-20,Sweden,1,0,0,4,4
2021-04-21,Afghanistan,2,2,0,21,12
2021-04-21,Japan,7,1,0,79,34
2021-04-21,Sweden,1,0,0,6,2
2021-04-22,Afghanistan,2,2,0,24,9
2021-04-22,Japan,9,1,0,89,22
2021-04-22,Sweden,3,0,0,6,0
2021-04-23,Afghanistan,2,1,1,25,8
2021-04-23,Japan,12,1,0,91,17
2021-04-23,Sweden,3,0,0,6,0
2021-04-24,Afghanistan,2,1,1,26,7
2021-04-24,Japan,14,1,0,95,11
2021-04-24,Sweden,3,0,0,6,0
2021-04-25,Afghanistan,3,1,1,28,4
2021-04-25,Japan,14,1,0,98,8
2021-04-25,Sweden,3,0,0,6,0
2021-04-26,Afghanistan,3,1,1,30,2
2021-04-26,Japan,14,0,1,98,8
2021-04-26,Sweden,3,0,0,6,0
2021-04-27,Afghanistan,3,1,0,31,2
2021-04-27,Japan,14,0,1,101,5
2021-04-27,Sweden,3,0,0,6,0
2021-04-28,Afghanistan,3,1,0,31,2
2021-04-28,Japan,14,0,1,101,5
2021-04-28,Sweden,3,0,0,6,0
2021-04-29,Afghanistan,3,1,0,31,2
2021-04-29,Japan,14,0,1,103,3
2021-04-29,Sweden,3,0,0,6,0
2021-04-30,Afghanistan,3,1,0,32,1
2021-04-30,Japan,14,0,0,106,1
2021-04-30,Sweden,3,0,0,6,0
2021-05-01,Afghanistan,3,1,0,32,1
